country_name,gdpc,unemployment,inflation
laos,2054.430781,1.209,22.95622251
lebanon,3823.938069,11.599,171.2054913
liberia,754.5328486,2.99,0.0
libya,8211.380948,19.319,4.510301492
st. lucia,13030.92895,15.934,6.378146951
low income,753.9542668,5.149262663,9.950438947
liechtenstein,187267.1324,0.0,0.0
sri lanka,3342.720125,6.33,49.72110211
lower middle income,2430.526463,4.940165479,7.930929254
lesotho,992.8573285,16.668,8.271803899
late-demographic dividend,12068.21328,5.205297798,8.518197035
lithuania,25078.74537,5.956,19.70504615
luxembourg,125006.0218,4.585,6.336008078
latvia,21508.40033,6.815,17.31028302
"macao sar, china",35192.52784,2.476,1.045028024
st. martin (french part),0.0,0.0,0.0
morocco,3441.991455,9.53,6.657042028
monaco,240862.1824,0.0,0.0
moldova,5715.280221,0.909,28.73729768
madagascar,516.772197,3.186,8.16059032
maldives,11780.81691,4.424,2.333143376
middle east & north africa,9116.772783,9.556759969,4.994765964
mexico,11476.67881,3.256,7.896276192
marshall islands,6225.179222,0.0,0.0
north macedonia,7485.603458,14.477,14.20471732
mali,831.2234666,3.09,9.621476085
malta,34563.39663,2.929,6.153756219
myanmar,1149.018961,2.83,0.0
middle east & north africa (excluding high income),4147.974632,11.17774375,6.657042028
montenegro,10093.4387,15.288,13.04030363
mongolia,5045.504726,6.211,15.14795609
northern mariana islands,0.0,0.0,0.0
mozambique,558.2985925,3.621,10.27940181
mauritania,2057.380392,10.602,9.525266286
mauritius,10239.79705,6.322,10.77375122
malawi,643.4331957,5.051,20.95396973
malaysia,11993.18761,3.93,3.378698625
north america,74980.83321,3.833748351,7.402800487
namibia,4895.680661,19.748,6.081281141
new caledonia,35745.84892,11.291,0.0
niger,588.8990483,0.552,4.226217919
nigeria,2162.633732,3.827,18.84718778
nicaragua,2252.310206,4.978,10.46742445
netherlands,57025.01246,3.524,10.00120788
norway,108798.4512,3.233,5.764123179
nepal,1348.15719,10.922,7.650791768
nauru,12142.76993,0.0,0.0
new zealand,48216.50958,3.297,7.17222476
oman,25056.79486,1.514,2.506142506
other small states,15844.37006,8.274026602,7.042342737
pakistan,1589.26398,5.548,19.87385996
panama,17357.62863,8.202,2.859651288
peru,7239.111311,3.85,8.333706301
philippines,3499.10728,2.598,5.821158112
palau,13421.97229,0.0,12.35266384
papua new guinea,3115.922923,2.689,5.253239222
poland,18732.49773,2.886,14.42945076
pre-demographic dividend,1579.544354,5.219427611,8.777214547
puerto rico,35268.0791,6.0,0.0
"korea, dem. people's rep.",0.0,2.965,0.0
portugal,24515.26575,6.011,7.832691242
paraguay,6187.06603,6.755,9.765566672
west bank and gaza,3799.95527,24.42,3.741223919
pacific island small states,3909.141665,3.830678887,6.679305819
post-demographic dividend,50759.62741,4.509991572,7.832691242
french polynesia,18984.8511,11.911,0.0
qatar,87480.41971,0.13,4.995275537
romania,15692.30717,5.614,13.79548874
russia,15445.24219,3.867,0.0
rwanda,966.5712933,15.085,17.68920956
south asia,2254.561958,5.145289479,7.650791768
saudi arabia,30447.88232,5.589,2.474073719
sudan,1102.245361,7.53,138.8084602
senegal,1594.985153,2.968,9.696818991
singapore,88428.70242,3.591,6.12106004
solomon islands,2162.66613,1.579,5.518129286
sierra leone,475.7957278,3.194,27.20828838
el salvador,5048.443973,2.999,7.198616156
san marino,0.0,0.0,0.0
somalia,592.103122,19.128,0.0
serbia,9537.684319,8.684,11.98151173
sub-saharan africa (excluding high income),1700.186414,6.07821917,9.525266286
south sudan,0.0,12.395,-6.687320942
small states,14176.61406,8.111590546,6.276893194
sao tome and principe,2386.696176,14.115,18.00563511
suriname,5858.824661,8.232,52.44602728
slovakia,21279.45892,6.143,12.77414636
slovenia,28439.3341,4.013,8.833698867
sweden,56299.50573,7.392,8.369290989
eswatini,3986.887239,37.852,0.0
sint maarten,37592.66081,0.0,0.0
seychelles,17167.19098,0.0,2.626036329
syria,0.0,13.813,0.0
turks and caicos islands,26886.51474,0.0,0.0
chad,699.4632545,1.104,5.788026878
europe & central asia (ida & ibrd countries),11413.91501,5.594767125,13.85225901
togo,923.2403712,2.065,7.967573616
thailand,6913.050805,0.94,6.077412284
tajikistan,1076.434691,6.981,0.0
turkmenistan,8792.548504,4.121,0.0
latin america & the caribbean (ida & ibrd countries),9388.72097,7.002290027,7.838445722
timor-leste,2389.295875,1.537,0.0
middle east & north africa (ida & ibrd countries),4152.183637,11.02700373,7.481751636
tonga,4681.679407,2.354,10.97136529
south asia (ida & ibrd),2254.561958,5.145289479,7.650791768
sub-saharan africa (ida & ibrd countries),1701.717266,6.07821917,9.45955253
trinidad and tobago,19629.46534,4.383,5.828386385
tunisia,3607.910238,15.301,8.306461244
turkey,10674.50417,10.432,72.30883599
tuvalu,5221.53307,0.0,0.0
tanzania,1193.359619,2.609,4.350272043
uganda,964.3541465,2.93,7.19578886
ukraine,4575.975098,0.0,20.18363666
upper middle income,10190.884,5.939225772,8.487308695
uruguay,20499.24222,7.877,9.104379831
united states,77246.67388,3.65,8.002799821
uzbekistan,2276.161233,4.535,11.4466437
st. vincent and the grenadines,9297.846929,19.51,5.660097792
"venezuela, rb",0.0,5.747,0.0
british virgin islands,0.0,0.0,0.0
virgin islands (u.s.),0.0,12.669,0.0
vietnam,4179.01179,1.535,3.1565075
vanuatu,3128.540422,5.171,6.679305819
samoa,3745.560367,9.923,10.96188223
kosovo,5290.977397,0.0,11.58051045
"yemen, rep.",698.85035,17.515,0.0
south africa,6766.481254,28.838,7.039726613
zambia,1456.90157,5.993,10.99320392
zimbabwe,1676.821489,10.087,104.7051706
