RANK,happiness_score,country,average_working_hours,household_size,education
122,4.483,"Palestinian Territories",41.65,5.06,0
37,6.309,Panama,34.14,3.64,3.887
73,5.578,Paraguay,40.01,3.87,3.41497
74,5.559,Peru,38.09,3.46,3.8941
60,5.904,Philippines,39.64,4.23,3.58
48,6.123,Poland,39.48,2.82,0
56,6.016,Portugal,37.71,2.58,0
28,6.477,Romania,39.75,2.67,0
80,5.459,Russia,39.19,0,0
143,3.268,Rwanda,29.35,4.28,4.75224
25,6.523,"Saudi Arabia",0,0,0
103,5.046,Senegal,0,8.66,5.641
43,6.178,Serbia,41.97,2.85,0
140,3.574,"Sierra Leone",0,5.29,8.80635
27,6.48,Singapore,0,2.95,2.389
35,6.391,Slovakia,37.9,2.8,0
22,6.63,Slovenia,38.38,2.47,0
91,5.194,"South Africa",42.35,3.36,6.18348
59,5.935,"South Korea",39.24,2.34,0
29,6.476,Spain,36.13,2.69,0
127,4.362,"Sri Lanka",42.01,0,1.2
7,7.384,Sweden,34.64,0,0
4,7.512,Switzerland,35.29,2.21,0
83,5.377,Tajikistan,0,5.99,5.447
139,3.702,Tanzania,0,0,3.238
61,5.891,Thailand,41.37,2.84,2.613
135,4.112,Togo,0,4.35,3.798
120,4.516,Tunisia,0,3.89,0
112,4.744,Turkey,43.53,0,2.61521
78,5.474,Turkmenistan,0,5.22,0
117,4.603,Uganda,44.47,4.87,2.561
98,5.084,Ukraine,0,2.53,5.9339
24,6.576,"United Arab Emirates",0,0,0
17,6.943,"United Kingdom",35.61,2.27,0
16,6.977,"United States",38.06,0,5.44
30,6.474,Uruguay,0,3.02,4.37
53,6.063,Uzbekistan,0,5.22,5.284
77,5.485,Vietnam,41.38,3.44,2.898
137,3.76,Zambia,42.58,5,3.583
144,2.995,Zimbabwe,41.33,4.02,0
